Six of Crows,Leigh Bardugo,"Jay Snyder,Brandon Rubin,Fred Berman,Lauren Fortgang,Roger Clark,Elizabeth Evans,Tristan Morris"
1984,Pav Singh,Sumit Kaul
Linchpin,Seth Godin,Seth Godin
A Short History of Nearly Everything,Bill Bryson,William Roberts
Essentialism,Greg McKeown,Greg McKeown
1962: The War That Wasn't,Shiv Kunal Verma,Manish Dongardive
The Qur'an,M. A. S. Abdel Haleem - translator,Ayman Haleem
The Ultimate Jim Rohn Library,Jim Rohn,Jim Rohn
Sita-Mithila Ki Yoddha [Sita: Warrior of Mithila],Amish Tripathi,Surjan Singh
Samart Nirnay Kase Ghyave [How to Make Smart Decisions],Manoj Ambike,Rohit Haldikar
The Body Keeps the Score,Bessel A. van der Kolk,Sean Pratt
The Millionaire Fastlane: Crack the Code to Wealth and Live Rich for a Lifetime,MJ DeMarco,MJ DeMarco
You Can Heal Your Life,Louise L. Hay,Louise L. Hay
The Jewelled Crown,Kalki R. Krishnamurthy,"Pavithra Srinivasan,Amit Bhargav"
The Art of War,Sun Tzu,Aidan Gillen
How to Win Friends and Influence People,Dale Carnegie,Shernaz Patel
The Four Agreements,don Miguel Ruiz,Peter Coyote
Getting Things Done With Work-Life Balance,David Allen,David Allen
The Miracle Morning,Hal Elrod,Rob Actis
The Earth Transformed,Peter Frankopan,Peter Frankopan
Power of Confidence (Marathi Edition),Manoj Ambike,Krunal Alve
The Anarchy,William Dalrymple,Sid Sagar
1984,George Orwell,Andrew Wincott
A Suitable Boy (Dramatised),Vikram Seth,"Ayesha Dharker,Mahabanoo Mody-Kotwal,full cast"
This Is Marketing,Seth Godin,Seth Godin
Before the Coffee Gets Cold,Toshikazu Kawaguchi,Arina Ii
Secrets of the Millionaire Mind,T. Harv Eker,Charles Constant
Execution,"Larry Bossidy,Ram Charan",John Bedford Lloyd
Stolen Focus,Johann Hari,Johann Hari
The Monk Who Sold His Ferrari,Robin Sharma,Humphrey Bower
Good Power,Ginni Rometty,Ginni Rometty
Inspired,Marty Cagan,Marty Cagan
48 Laws of Power,Robert Greene,Richard Poe
American Kingpin,Nick Bilton,Will Damron
The Power of Now,Eckhart Tolle,Eckhart Tolle
Algorithms to Live By,"Brian Christian,Tom Griffiths",Brian Christian
To Kill a Mockingbird,Harper Lee,Sissy Spacek
Bose: The Untold Story (Part 1),Chandrachur Ghose,Dev J. Haldar
Closer to Love,Vex King,Vex King
The Monk Who Sold His Ferrari,Robin Sharma,Robin Sharma
Why We Sleep,Matthew Walker,John Sackville
Behave,Robert M. Sapolsky,Michael Goldstrom
The Psychology of Money,Morgan Housel,Chris Hill
The Secret of Secrets,Osho,Osho
Superintelligence,Nick Bostrom,Napoleon Ryan
The Design of Everyday Things,Don Norman,Neil Hellegers
The 80/20 Principle,Richard Koch,Richard Koch
I Will Teach You to Be Rich,Ramit Sethi,Ramit Sethi
The Infinite Game,Simon Sinek,Simon Sinek
The Forty Rules of Love,Elif Shafak,George Blagden
The Easy Way to Stop Smoking,Allen Carr,Duncan Wells
The Fountainhead,Ayn Rand,Christopher Hurt
Who Will Cry When You Die?,Robin Sharma,Adam Verner
When Breath Becomes Air,Paul Kalanithi,"Cassandra Campbell,Sunil Malhotra"
All These Worlds,Dennis E. Taylor,Ray Porter
Becoming,Michelle Obama,Michelle Obama
How to Make Money in Stocks (Fourth Edition),William J. O'Neil,Christopher Grove
Becoming Supernatural,Joe Dispenza,Adam Boyce
Breath,James Nestor,James Nestor
Kafka on the Shore,Haruki Murakami,"Sean Barrett,Oliver Le Sueur"
Breaking the Habit of Being Yourself,Joe Dispenza,Adam Boyce
"The Pragmatic Programmer: 20th Anniversary Edition, 2nd Edition","David Thomas,Andrew Hunt",Anna Katarina
The Man Who Saved India,Hindol Sengupta,B. Andrew
Legend of Suheldev,Amish Tripathi,Shernaz Patel
Diana,Andrew Morton,"Caroline Langrishe,Michael Maloney,Andrew Morton,Jennie Bond"
The Silk Roads,Peter Frankopan,Mike Grady
Bose: The Untold Story (Part 2),Chandrachur Ghose,Dev J. Haldar
"Harry Potter and the Deathly Hallows, Book 7",J.K. Rowling,Stephen Fry
Lighter,Yung Pueblo,Yung Pueblo
The 48 Laws of Power,Robert Greene,Don Leslie
A Game of Thrones,George R.R. Martin,Roy Dotrice
Defiance of the Fall 8,"TheFirstDefier,JF Brink",Pavi Proczko
The Sandman: Act II,"Neil Gaiman,Dirk Maggs","Neil Gaiman,James McAvoy,Emma Corrin,Brian Cox,Kat Dennings,John Lithgow,Bill Nighy"
Your Money or Your Life,"Vicki Robin,Joe Dominguez,Mr. Money Mustache - foreword",Vicki Robin
When McKinsey Comes to Town,"Walt Bogdanich,Michael Forsythe",Ari Fliakos
Project Hail Mary,Andy Weir,Ray Porter
Hooked: How to Build Habit-Forming Products,"Nir Eyal,Ryan Hoover",Nir Eyal
One Hundred Years of Solitude,"Gabriel García Márquez,Gregory Rabassa - translator",John Lee
Raavan,Amish Tripathi,Sagar Arya
21 Lessons for the 21st Century,Yuval Noah Harari,Derek Perkins
Rework,"Jason Fried,David Heinemeier Hansson",Mike Chamberlain
The Big Con,"Mariana Mazzucato,Rosie Collington",Amy Finegan
Mastering Uncertainty,"Matt Watkinson,Csaba Konkoly",Matt Watkinson
Influence,Robert B. Cialdini,Lloyd James
"Men Are from Mars, Women Are from Venus",John Gray,John Gray
The Daily Stoic,"Ryan Holiday,Stephen Hanselman",Brian Holsopple
The Hard Thing About Hard Things,Ben Horowitz,Kevin Kenerly
"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,Charlie Mackesy
Unstoppable,Brian Tracy,Michael Tracy
Narmadayan (Marathi Edition),Uday Nagnath,Sachin Suresh
Revolutionaries,Sanjeev Sanyal,Adwait Karambelkar
Fire and Blood,George R.R. Martin,Simon Vance
The Perfect Murder,Ruskin Bond,Tejas Menon
The E-Myth Revisited,Michael E. Gerber,Michael E. Gerber
Jaya: A Retelling of the Mahabharata,Devdutt Pattanaik,Sumit Kaul
The Formula,"Ronald F. Ferguson,Tatsha Robertson",Cynthia Farrell
The Way of the Superior Man,David Deida,Cecil Archbold
"Mind Management, Not Time Management",David Kadavy,David Kadavy
The Word Is Murder,Anthony Horowitz,Rory Kinnear
Twisted Love,Ana Huang,"Cindy Kay,Aiden Snow"
Allen Carr's Easy Way to Quit Smoking,Allen Carr,John Chancer
Homo Deus,Yuval Noah Harari,Derek Perkins
Poirot's Finest Cases,Agatha Christie,"Full Cast,John Moffat"
Nonviolent Communication,Marshall Rosenberg PhD,Marshall Rosenberg PhD
Gift Me a New Beginning,Arpit Vageria,Aditya Raj Sharma
Catalyst,Chandramouli Venkatesan,Vishal Menon
Land of Seven Rivers,Sanjeev Sanyal,Vikrant Chaturvedi
You Are the Placebo,Dr. Joe Dispenza,Adam Boyce
Eat That Frog!,Brian Tracy,Brian Tracy
Rich Dad Poor Dad: 20th Anniversary Edition,Robert T. Kiyosaki,Tom Parks
Getting to Yes,"Roger Fisher,William Ury,Bruce Patton",Dennis Boutsikaris
Man's Search for Meaning,Viktor E. Frankl,Simon Vance
The Alchemist,Paulo Coelho,Jeremy Irons
$100M Offers,Alex Hormozi,Alexander Hormozi
The Warren Buffett Way,Robert Hagstrom,Stephen Hoye
A Brief History of Time,Stephen Hawking,John Sackville
Dark Matter,Blake Crouch,Jon Lindstrom
Extreme Ownership,"Jocko Willink,Leif Babin","Jocko Willink,Leif Babin"
Four Thousand Weeks,Oliver Burkeman,Oliver Burkeman
The Book of Wisdom,Osho,Osho
Think Again,Adam Grant,Adam Grant
The Greatest Secret,Rhonda Byrne,Rhonda Byrne
"Ponniyin Selvan - Part 1 [The Son of Ponni, Part 1]",Kalki,Bombay Kannan
Shrimad Bhagwad Gita (Hindi Edition),R. R. Varma,Kumud Soney
Yes Minister & Yes Prime Minister - The Complete Audio Collection,"Antony Jay,Jonathan Lynn","Paul Eddington,full cast,Nigel Hawthorn"
Dune,Frank Herbert,"Scott Brick,Orlagh Cassidy,Euan Morton,Simon Vance,Ilyana Kadushin,Byron Jennings,David R. Gordon,Jason Culp,Kent Broadhurst,Oliver Wyman,Patricia Kilgarriff,Scott Sowers"
Who Moved My Cheese?,Dr Spencer Johnson,"Tony Roberts,Karen Ziemba,Kenneth Blanchard"
Daisy Jones and the Six,Taylor Jenkins Reid,"Sara Arrington,Jennifer Beals,Arthur Bishop,Fred Berman,Benjamin Bratt,Jonathan Davis,Ari Fliakos,Holter Graham,Judy Greer,January Lavoy,Robinne Lee,Peter Larkin,Henry Leyva,P.J. Ochlan,Robert Petkoff"
The Go-Giver,"Bob Burg,John David Mann","Bob Burg,John David Mann"
How to Make Money in Stocks (Fourth Edition),William J. O'Neil,Christopher Grove
Becoming Supernatural,Joe Dispenza,Adam Boyce
Breath,James Nestor,James Nestor
Kafka on the Shore,Haruki Murakami,"Sean Barrett,Oliver Le Sueur"
Breaking the Habit of Being Yourself,Joe Dispenza,Adam Boyce
"The Pragmatic Programmer: 20th Anniversary Edition, 2nd Edition","David Thomas,Andrew Hunt",Anna Katarina
The Man Who Saved India,Hindol Sengupta,B. Andrew
Legend of Suheldev,Amish Tripathi,Shernaz Patel
The God of Small Things,Arundhati Roy,"Siobhan Finneran,Paul Bhattacharjee,Yasmin Wilde,Richard Sumitro,full cast"
Unscripted,MJ DeMarco,Scott Thomas
Diana,Andrew Morton,"Caroline Langrishe,Michael Maloney,Andrew Morton,Jennie Bond"
The Silk Roads,Peter Frankopan,Mike Grady
Coffee Can Investing,Saurabh Mukherjea,Abhinandan Tejaswi
Market Wizards,"Jack D. Schwager,Bruce Kovner,Richard Dennis,Paul Tudor Jones,Michael Steinhardt,Ed Seykota,Marty Schwartz,Tom Baldwin",Dj Holte
"Harry Potter and the Order of the Phoenix, Book 5",J.K. Rowling,Stephen Fry
Bose: The Untold Story (Part 2),Chandrachur Ghose,Dev J. Haldar
"Harry Potter and the Deathly Hallows, Book 7",J.K. Rowling,Stephen Fry
Raavan: Aryavart Ka Shatru [Raavan: Enemy of Aryavarta],Amish Tripathi,Surjan Singh
Lighter,Yung Pueblo,Yung Pueblo
The 48 Laws of Power,Robert Greene,Don Leslie
The Case Against the Sexual Revolution,Louise Perry,Louise Perry
A Game of Thrones,George R.R. Martin,Roy Dotrice
Defiance of the Fall 8,"TheFirstDefier,JF Brink",Pavi Proczko
The Sandman,"Neil Gaiman,Dirk Maggs","Riz Ahmed,Kat Dennings,Taron Egerton,Neil Gaiman,James McAvoy,Samantha Morton,Bebe Neuwirth,Andy Serkis,Michael Sheen"
The Sandman: Act II,"Neil Gaiman,Dirk Maggs","Neil Gaiman,James McAvoy,Emma Corrin,Brian Cox,Kat Dennings,John Lithgow,Bill Nighy"
Your Money or Your Life,"Vicki Robin,Joe Dominguez,Mr. Money Mustache - foreword",Vicki Robin
When McKinsey Comes to Town,"Walt Bogdanich,Michael Forsythe",Ari Fliakos
Evolve Your Brain,Joe Dispenza,Sean Runnette
Project Hail Mary,Andy Weir,Ray Porter
A Promised Land,Barack Obama,Barack Obama
Master of the Game,Sidney Sheldon,Shannon Engemann
A House for Mr. Biswas,V. S. Naipaul,Sam Dastor
Heartburn,Nora Ephron,Meryl Streep
Atomic Habits,James Clear,James Clear
Pride and Prejudice,Jane Austen,Rosamund Pike
The Law of Attraction,"Esther Hicks,Jerry Hicks","Esther Hicks,Jerry Hicks"
Someone Else’s Shoes,Jojo Moyes,Daisy Ridley
The Sex Book,Leeza Mangaldas,Leeza Mangaldas
The Selfish Gene,Richard Dawkins,"Richard Dawkins,Lalla Ward"
Diary of a Wimpy Kid: Diper Överlöde,Jeff Kinney,Dan Russell
Maine Ram Ratan Dhan Payo,OSHO,OSHO
A Thousand Li: The Third Realm,Tao Wong,Travis Baldree
"Harry Potter and the Chamber of Secrets, Book 2",J.K. Rowling,Stephen Fry
The Power Law,Sebastian Mallaby,Will Damron
We Are Legion (We Are Bob),Dennis E. Taylor,Ray Porter
Sex at Dawn,"Christopher Ryan,Cacilda Jetha","Allyson Johnson,Jonathan Davis,Christopher Ryan (Preface)"
How to Become a People Magnet,Marc Reklau,Greg Douras
Inferno,Dan Brown,Paul Michael
Undercover Sex Signals,Leil Lowndes,Joyce Bean
Rumpole: A BBC Radio Collection,John Mortimer,"Benedict Cumberbatch,Timothy West,Julian Rhind-Tutt,Desmond Barrit,Prunella Scales,Jasmine Hyde,full cast"
Tools of Titans,Tim Ferriss,"Ray Porter,Kaleo Griffith,Tim Ferriss,Therese Plummer,Ryan Holiday,Kevin Rose,Jocko Willink,Tim Kreider,Mike Del Ponte"
Immortal India,Amish Tripathi,Kaushik Ramachandran
The Bullet That Missed,Richard Osman,Fiona Shaw
Do Epic Shit,Ankur Warikoo,Ankur Warikoo
The Defining Decade,Meg Jay,Meg Jay
Bharat ka Rakshak Maharaja Suheldev (Hindi Edition),Amish Tripathi,Neha Gargava
The Housemaid's Secret,Freida McFadden,Lauryn Allman
12 Rules for Life,Jordan B. Peterson,Jordan B. Peterson
Split Second,David Baldacci,Scott Brick
The Family Upstairs,Lisa Jewell,"Tamaryn Payne,Bea Holland,Dominic Thorburn"
The Girl on the Train,Paula Hawkins,"Louise Brealey,India Fisher,Clare Corbett"
Echo Burning,Lee Child,Jeff Harding
Ram-Ikshvaku Ke Vanshaj [Descendants of Rama-Ikshvaku],Amish Tripathi,Surjan Singh
NLP,"Charles Faulkner,Gerry Schmidt,Kelly Gerling,Robert McDonald,Suzi Smith,Tim Hallbon","Charles Faulkner,Gerry Schmidt,Robert McDonald,Tim Hallbon,Suzi Smith,Kelly Gerling"
The Book on Rental Property Investing,Brandon Turner,Brandon Turner
"Savarkar: Echoes of a Forgotton Past, Vol. 1: Part 1",Vikram Sampath,Pratik Sharma
What Got You Here Won't Get You There,"Marshall Goldsmith,Mark Reiter",Jared Vanderbeck
AI Superpowers,Kai-Fu Lee,Mikael Naramore
For We Are Many,Dennis E. Taylor,Ray Porter
Critical Mass,Daniel Suarez,Jeff Gurner
And the Mountains Echoed,Khaled Hosseini,"Navid Negahban,Shohreh Aghdashloo,Khaled Hosseini"
The Man Who Solved the Market,Gregory Zuckerman,Will Damron
How to Sell a Haunted House,Grady Hendrix,"Jay Aaseng,Mikhaila Aaseng"
Measure What Matters,John Doerr,"Jini Kim,Susan Wojcicki,Alex Garden,Andrew Cole,Cristos Goodrow,Patti Stonesifer,Mike Lee,Bono,William Davidow,Joseph Suzuki,Atticus Tysen,Brett Kopf,John Doerr,Julia Collins"
The Ambuja Story,Narotam Sekhsaria,Adwait Karambelkar
Age of Swords,Michael J. Sullivan,Tim Gerard Reynolds
Teachings of Vivekananda,Vivekananda,Charlton Griffin
100 Side Hustles,Chris Guillebeau,Chris Guillebeau
The Revenge of Geography,Robert D. Kaplan,Michael Prichard
The Alchemist (Tamil Edition),"Paulo Coelho,Nagalakshmi Shanmugam - translator",Ganesh Ram PS
The God Delusion,Richard Dawkins,"Richard Dawkins,Lalla Ward"
The Obesity Code,Jason Fung,Brian Nishii
The Complete Stories of Sherlock Holmes,Arthur Conan Doyle,Charlton Griffin
Astrophysics for People in a Hurry,Neil deGrasse Tyson,Neil deGrasse Tyson
Essence of the Upanishads,Eknath Easwaran,Paul Bazely
Silence,Thích Nhất Hạnh,Dan Woren
Midnight's Children,Salman Rushdie,"Nikesh Patel,Meera Syal,Anneika Rose,Preeya Kalidas,Aysha Kala,full cast"
If Tomorrow Comes,Sidney Sheldon,Nancy La Scala
Unleashing the Mind,Sadhguru,Sadhguru
Sleep Smarter,"Shawn Stevenson,Sara Gottfried MD - foreword","Sara Gottfried,Shawn Stevenson"
Be Still and Know,Osho,Osho
The Coaching Habit,Michael Bungay Stanier,Daniel Maté
Flow,Mihaly Csikszentmihalyi Ph.D.,Mihaly Csikszentmihalyi Ph.D.
Thinking in Bets,Annie Duke,Annie Duke
Just Do It,Donald Katz,"Donald Katz,Brian Sutherland"
Indistractable,"Nir Eyal,Julie Li",Nir Eyal
In the Realm of Hungry Ghosts,Dr Gabor Maté,Daniel Maté
Everything the Light Touches,Janice Pariat,"Maya Soraya,Camilla Rockley,Chris Nayak,Matt Addis"
English Speaking Master. Proficiency level B2-C1,Dorota Guzik,"Lara Kalenik,Barbara Kubica-Daniel,Tadeusz Z. Wolanski,Michael Brown"
What Do You Care What Other People Think?,"Richard P. Feynman,Ralph Leighton",Raymond Todd
The Miracle of Mindfulness,Thích Nhất Hạnh,John Sackville
Cobalt Red,Siddharth Kara,Peter Ganim
Bridgerton: The Duke and I,Julia Quinn,Rosalyn Landor
Hyperfocus,Chris Bailey,Chris Bailey
Enlightenment Now,Steven Pinker,Arthur Morey
"Ambedkar and Buddhism, Annihilation of Caste","Urgyen Sangharakshita,Dr B. R. Ambedkar","Ratnadhya,Sagar Arya"
Life's Amazing Secrets,Gaur Gopal Das,Gaur Gopal Das
Vayuputron ki Shapath [Vayuputron's Oath],Amish Tripathi,Swetanshu Bora
"Harry Potter and the Prisoner of Azkaban, Book 3",J.K. Rowling,Stephen Fry
The Everyday Hero Manifesto,Robin Sharma,Adam Sims
Savarkar (Part 2) A,Vikram Sampath,Pratik Sharma
Valmiki Ramayan (Hindi Edition),Valmiki,Ashwini Walia
I Can't Make This Up,"Neil Strauss - contributor,Kevin Hart",Kevin Hart
Before Your Memory Fades,"Toshikazu Kawaguchi,Geoffrey Trousselot - translator",Kevin Shen
Siri Guru Granth Sahib,SikhNet,Various
An Era of Darkness,Shashi Tharoor,Sagar Arya
The Pillars of the Earth,Ken Follett,John Lee
The Hero of Tiger Hill,Capt (Hony) Yogendra Singh Yadav,Tejas Menon
Great Mythologies of the World,"The Great Courses,Grant L. Voth,Julius H. Bailey,Kathryn McClymond,Robert André LaFleur","Grant L. Voth,Julius H. Bailey,Kathryn McClymond,Robert André LaFleur"
The Lucifer Effect,Philip Zimbardo,Kevin Foley
The Quantum Chain,Nick Jones,Ray Porter
Pegasus,"Laurent Richard,Sandrine Rigaud","Andrew Wehrlen,Rachel Maddow,Rachel Perry"
The Anne of Green Gables Collection,L.M. Montgomery,"Susie Berneis,Tara Ward"
Digital Minimalism,Cal Newport,Will Damron
My Gita,Devdutt Pattanaik,Vivek Madan
Hitchhiker's Guide to the Galaxy,Douglas Adams,Stephen Fry
Pitch Anything,Oren Klaff,Stephen Bowlby
Mindset Secrets for Winning: How to Bring Personal Power to Everything You Do,Mark Minervini,Doug Gochman
The Pilgrimage,Paulo Coelho,Sean Runnette
Power vs. Force,Dr. David R. Hawkins,Dr. David R. Hawkins
What the Heck Do I Do with My Life?,Ravi Venkatesan,Aniket Bele
Seriously...I'm Kidding,Ellen DeGeneres,Ellen DeGeneres
Practicing Mindfulness: An Introduction to Meditation,"Mark W. Muesse,The Great Courses",Mark W. Muesse
The Great Mental Models,Shane Parrish,Shane Parrish
Prisoners of Geography,Tim Marshall,Ric Jerom
Asura,Anand Neelakantan,Denzil Smith
The Ride of a Lifetime,Robert Iger,"Robert Iger,Jim Frangione"
Grit,Angela Duckworth,Angela Duckworth
Challenging Destiny,Medha Deshmukh Bhaskaran,Avinash Kumar Singh
What Every BODY Is Saying,"Joe Navarro,Marvin Karlins",Paul Costanzo
Circe,Madeline Miller,Perdita Weeks
Ego Is the Enemy,Ryan Holiday,Ryan Holiday
A Gentleman in Moscow,Amor Towles,Nicholas Guy Smith
"The Mixer: The Story of Premier League Tactics, from Route One to False Nines",Michael Cox,Colin Mace
The Presentation Secrets of Steve Jobs,Carmine Gallo,Carmine Gallo
How to Talk to Anyone at Work,Leil Lowndes,"Joyce Bean,Leil Lowndes"
The Idiot,Fyodor Dostoyevsky,Constantine Gregory
As a Man Thinketh,James Allen,Brian Holsopple
Letters from a Stoic,"Seneca,Robin Campbell",Julian Glover
Lose Weight Now,Allen Carr,Richard Mitchley
Never Split the Difference,"Chris Voss,Tahl Raz",Michael Kramer
Charlie and the Great Glass Elevator,Roald Dahl,Douglas Hodge
Rich Dad's Before You Quit Your Job,Robert T. Kiyosaki,Tim Wheeler
The Evolution of Desire,David M. Buss,Greg Tremblay
Gandhi’s Assassin,Dhirendra Jha,Kulvin Suri
The Remains of the Day,Kazuo Ishiguro,Dominic West
Database Internals,Alex Petrov,Mike Chamberlain
Leadership Wisdom from the Monk Who Sold His Ferrari,Robin Sharma,Adam Verner
You Are the Best Wife,Ajay K. Pandey,Shlok Menon
The Art of Focus,Gauranga Das Prabhu,Abhishek Sharma
The Story of the Human Body,Daniel Lieberman,Sean Runnette
Metahuman,Dr Deepak Chopra,Dr Deepak Chopra
Just Keep Buying,Nick Maggiulli,Kevin Meyer
The Psychology of Selling,Brian Tracy,Brian Tracy
Elon Musk,Ashlee Vance,Fred Sanders
The Psychology Book,DK,Cassandra Campbell
HBR's 10 Must Reads 2023,Harvard Business Review,"Mike Lenz,Rachel Perry"
Best Loser Wins,Tom Hougaard,Richard Faymonville
Carrie Soto Is Back,Taylor Jenkins Reid,"Mary Carillo,Patrick McEnroe,Brendan Wayne,Max Meyers,Julia Whelan,Sara Arrington,Stacy Gonzalez,Rob Simmelkjaer,Reynaldo Piniella,Vidish Athavale,Tom Bromhead,Heath Miller"
Why Nations Fail,"Daron Acemoglu,James A. Robinson",Dan Woren
Models,Mark Manson,Austin Rising
Atlas Shrugged,Ayn Rand,Scott Brick
The Price of Time,Edward Chancellor,Luis Soto
If God Was a Banker,Ravi Subramanian,Sanjiv Jhaveri
The Mind of a Consultant,Sandeep K. Krishnan,Adwait Karambelkar
365 Panchatantra Stories,Adil Mukesh,Aarti Aney Menon
Living with the Himalayan Masters,Swami Rama,Dr. D. C. Rao
Zero Bulls--t Meditation,Vishen Lakhiani,Vishen Lakhiani
The Buddha Said,Osho,Osho
The Effective Executive,Peter F. Drucker,"Jim Collins,Timothy Andrés Pabon"
Zero to One,"Peter Thiel,Blake Masters",Blake Masters
Superforecasting,"Philip Tetlock,Dan Gardner",Joel Richards
Sahaj Yog,OSHO,OSHO
The Big Leap,Gay Hendricks,Gay Hendricks
Inside Chanakya's Mind,Radhakrishnan Pillai,Suyash Mohan
How to Be a 3% Man,Corey Wayne,Corey Wayne
The Yoga Sutras of Patanjali,Sri Swami Satchidananda,"M.A. Jayashree,Indunil Peiris,Sam Rudra Swartz"
